"handle","followers","following","retweet"
"TheBookTweeters",237916,186397,false
"shannalea9",1715,2833,false
"theonlyceo2",9,73,false
"bgray5",1045,824,false
"PhelpsHomes",354,148,false
"Ocean100",11949,5232,false
"MutualRescue",3164,3090,false
"PEICorey",4051,5000,false
"phrymemagazine",211,518,false
"vsilvani",569,815,false
"LizSaldanaNYC",1495,1110,false
"bcchiro",1974,925,false
"Roula0426",6778,1926,false
"thriveprobono",15,30,false
"spaceagefcu",641,503,false
"fitzy532",147,619,false
"tmston_2",249,626,false
"SylvanLib",1063,401,false
"PlayOsmo",20037,870,false
"atlanticfcu",333,594,false
"PCT_FCU",105,343,false
"iampinoyboy",1001,38,false
"GETucker1",106,118,false
"ParkMerch",83,357,false
"PlayOffense",3920,4533,false
"marieballardmar",1695,1056,false
"Raktims23359962",20307,14349,false
"reg503",99,165,false
"let_didn",25,104,false
"HHINTONU",89,924,false
"BU_Tweets",97528,22195,false
"Seahorse_Caro",9,36,false
"bwelks_",592,566,false
"charlotte_twine",632,870,false"handle","followers","following","retweet"
"RL_Cherry",1222,1233,false
"CDPHga",2230,135,false
"1612Watchlist",1827,1064,false
"aimasters",463,51,false
"accountnicess",4,39,false
"CockettParish",66,48,false
"TrevorThornett",95,219,false
"RedCellsrus",1424,1152,false
"Doggos_Bot",1105,1,false
"BatsinChurches",856,244,false
"noleftbrain1",49,111,false
"ContrerasMeggie",0,0,false
"20x200",23402,8271,false
"CallbridgeMeet",67,254,false
"G2Niko_",1871,3010,false
"STNcottrell",41,127,false
"PrimoMGroup",261,2921,false
"lillybell2005",800,881,false
"Kachaquale",246,228,false
"harringtonmarks",1158,4997,false
"FulhamCharity",159,111,false
"fbwnation",12,33,false
"Europa_Int",1067,1231,false
"WalkerBajric",74,272,false
"mortenroyale",18064,848,false
"TheBookTweeters",237916,186397,false
"DawnGemini",90,147,false
"GIWP",1129,780,false
"SKGaming",294141,68,false
"goddardcollege",2242,889,false
"LindaKovicSkow",9579,8375,false
"dontucrytonite",886,3132,false
"jacqui_cameron",430,352,false
"959angela",69,287,false
"naturetechfam",7906,5860,false
"mjacksonauthor",2155,1393,false
"dcPriya",84802,83320,false
"ggjourneys",5754,4109,false
"AndileNgwenyaK",186,1939,false
"GandGCreations",252,414,false
"AmariaBeasley",182,274,false
"planetacterra",788,677,false
"nerdupme",1,34,false
"Elipo1",69,283,false
"Vegan4Animal",5329,635,false
"Jenhodges7",586,1576,false
"DFActing",1586,1157,false
"DorothyRosby",3016,2664,false
"LLERO_ONLINE",1034,1440,false
"AllergyAsthmaHQ",6493,2503,false
"creatornorth",377,1778,false
"SAVEDORETREES",3093,2659,false
"fmlondongroup",520,669,false
"fmlondongroup",520,669,false
"Vamos_A_Pescar",2245,710,false
"KraaiJohn",187,166,false
"RobNicholas17",28,133,false
"NEVILLE71337654",45,333,false
"dmeforpeace",6838,2243,false
"AmandaGoodwinHC",1337,998,false
"_BCT_",44972,8215,false
"ChloeNICU",18,54,false
"Shapiro50plus",7475,4303,false
"VeronicaFrase11",2921,3395,false
"Ziggie_zaggie",19805,19649,false
"JoAnnReinhold",2671,1920,false
"minds_press",634,750,false
"Watermarkbooks",3358,322,false
"MarthaGrahamLtg",152,152,false
"riteaid",76156,2609,false
"outdoors_hm",34,9,false
"OSilvermanA",468,565,false
"RajThebookman",372,367,false
"TimKearsley",24,24,false
"John_the_L",3146,2521,false
"YarmouthHC",44,180,false
"MAGA_Engineer",28233,27045,false
"health_magazine",4381,4981,false
"AssabetSuper",438,314,false
"InfoQuench",174,199,false
"GilaGal",5021,4253,false
"twisteddevils",548,610,false
"Take_Me_Fishing",60428,2870,false
"w_overloaded",1439,1388,false
"Afrikinky",209,39,false
"DCHighline",5,0,false
"GrabOnIn",7183,36,false
"NursingNowInfoE",1191,5026,false
"letsbeehive",113,218,false
"BTNcomedycourse",439,805,false
"kingsnortonpark",1090,805,false
"AJIHealth",171,380,false
"davie5456",2481,2661,false
"LizSaldanaNYC",1495,1110,false
"marker528",851,1187,false
"_Annetworks",1004,958,false
"TheBookTweeters",237916,186397,false
"MorganScorpion",4276,2470,false"handle","followers","following","retweet"
"KenKwameWrites",273,276,false
"brooke_noah",387,645,false
"makeitealing",5594,1978,false
"researchmrx",3296,213,false
"SmileMakersUS",206,44,false
"_BCT_",44972,8215,false
"PaulClarity",6996,6457,false
"Pflege_News",6079,2479,false
"creativemindsan",2630,988,false
"crazyfootyfan07",256,318,false
"florencemuseum",7615,1788,false
"AndrewRoberts66",3599,3698,false
"obazenath",2860,3056,false
"PaintedRambler",28,189,false
"rioclick1977",507,759,false
"CritchJo",126,788,false
"FitMumFormula",2552,3778,false
"pcs_union",28616,809,false
"LizSaldanaNYC",1495,1110,false
"knothing4",620,313,false
"drjanaway",33146,18197,false
"fanatacat",2410,3777,false
"ThoughtFabrique",19,100,false
"WiFiExpertUK",168,236,false
"DorsetFoodDrink",21695,1879,false
"tbauer001",1471,4983,false
"SquawkingMad",72,40,false
"janees1",162,332,false
"PicassoRecruit",262,906,false
"bosmedicalstaff",11,0,false
"KatharineKite",521,119,false
"Inday_Katherine",23,198,false
"gemshepetch",136,418,false
"ClaireFurner",1163,858,false
"TymorHir",268,762,false
"TymorHir",268,762,false
"AnnaHoopsrun",348,471,false
"SueWestern",12,43,false
"Suzyqfit4u",22470,22447,false
"BOS_Staffing",546,454,false
"AIAusa",10418,1559,false
"SamayamTamil",10607,24,false
"leyland2blue",17,115,false
"Rachael92629132",61,201,false
"HoraLeslie",216,1268,false
